SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
20MICRONS,20 Microns Limited,EQ,06-OCT-2008,5,1,INE144J01027,5
21STCENMGM,21st Century Management Services Limited,EQ,03-MAY-1995,10,1,INE253B01015,10
360ONE,360 ONE WAM LIMITED,EQ,19-SEP-2019,1,1,INE466L01038,1
3BBLACKBIO,3B Blackbio Dx Limited,EQ,20-APR-2026,10,1,INE994E01018,10
3IINFOLTD,3i Infotech Limited,BE,22-OCT-2021,10,1,INE748C01038,10
3MINDIA,3M India Limited,EQ,13-AUG-2004,10,1,INE470A01017,10
3PLAND,3P Land Holdings Limited,EQ,19-JUL-1995,2,1,INE105C01023,2
5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,10,1,INE618L01018,10
63MOONS,63 moons technologies limited,EQ,20-JUN-2005,2,1,INE111B01023,2
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-DEC-2010,10,1,INE619I01012,10
AAATECH,AAA Technologies Limited,EQ,28-NOV-2022,10,1,INE0D0U01013,10
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-MAY-2024,10,1,INE883F01010,10
AAKASH,Aakash Exploration Services Limited,EQ,29-SEP-2020,1,1,INE087Z01024,1
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,06-AUG-2021,10,1,INE198H01019,10
AARNAV,Aarnav Fashions Limited,BE,25-FEB-2026,10,1,INE750R01016,10
AARON,Aaron Industries Limited,EQ,06-NOV-2020,10,1,INE721Z01010,10
AARTECH,Aartech Solonics Limited,BE,10-JUL-2023,5,1,INE01C001026,5
AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003,10,1,INE767A01016,10
AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5,1,INE769A01020,5
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-JAN-2023,5,1,INE0LRU01027,5
AARTISURF,Aarti Surfactants Limited,BE,14-JUL-2020,10,1,INE09EO01013,10
AARVI,Aarvi Encon Limited,EQ,24-JUN-2020,10,1,INE754X01016,10
AASTHA,Aastha Spintex Limited,EQ,06-JUL-2026,10,1,INE2FMX01012,10
AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,10,1,INE216P01012,10
ABAN,Aban Offshore Limited,BE,29-MAR-1995,2,1,INE421A01028,2
ABANSENT,Abans Enterprises Limited,EQ,20-APR-2026,2,1,INE365O01028,2
ABB,ABB India Limited,EQ,08-FEB-1995,2,1,INE117A01022,2
ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10,1,INE358A01014,10
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,10,1,INE674K01013,10
ABCOTS,A B Cotspin India Limited,EQ,24-SEP-2025,10,1,INE08PH01015,10
ABDL,Allied Blenders and Distillers Limited,EQ,02-JUL-2024,2,1,INE552Z01027,2
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10,1,INE647O01011,10
ABINFRA,A B Infrabuild Limited,BE,08-NOV-2024,1,1,INE00YB01025,1
ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,23-JUN-2025,10,1,INE14LE01019,10
ABMINTLLTD,ABM International Limited,BE,09-SEP-2021,10,1,INE251C01025,10
ABMKNO,ABM Knowledgeware Limited,EQ,20-APR-2026,5,1,INE850B01026,5
ABREL,Aditya Birla Real Estate Limited,EQ,27-JUN-2003,10,1,INE055A01016,10
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,5,1,INE404A01024,5
ACC,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10
ACCELYA,Accelya Solutions India Limited,EQ,01-DEC-1999,10,1,INE793A01012,10
ACCURACY,Accuracy Shipping Limited,BE,11-DEC-2020,1,1,INE648Z01023,1
ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,2,1,INE731H01025,2
ACEINTEG,Ace Integrated Solutions Limited,EQ,04-NOV-2022,10,1,INE543V01017,10
ACGL,Automobile Corporation of Goa Limited,EQ,17-AUG-2026,10,1,INE451C01013,10
ACI,Archean Chemical Industries Limited,EQ,21-NOV-2022,2,1,INE128X01021,2
ACL,Andhra Cements Limited,EQ,10-MAY-2023,10,1,INE666E01020,10
ACMESOLAR,Acme Solar Holdings Limited,EQ,13-NOV-2024,2,1,INE622W01025,2
ACSTECH,ACS Technologies Limited,BE,20-APR-2026,10,1,INE366C01021,10
ACUTAAS,Acutaas Chemicals Limited,EQ,14-SEP-2021,5,1,INE00FF01025,5
ADANIENSOL,Adani Energy Solutions Limited,EQ,31-JUL-2015,10,1,INE931S01010,10
ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1
ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10,1,INE364U01010,10
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2
ADANIPOWER,Adani Power Limited,EQ,20-AUG-2009,2,1,INE814H01029,2
ADDIND,Addi Industries Limited,EQ,17-AUG-2026,5,1,INE757C01021,5
ADFFOODS,ADF Foods Limited,EQ,15-SEP-2010,2,1,INE982B01027,2
ADL,Archidply Decor Limited,EQ,01-OCT-2020,10,1,INE0CHO01012,10
ADOR,Ador Welding Limited,EQ,10-MAY-1995,10,1,INE045A01017,10
ADROITINFO,Adroit Infotech Limited,EQ,13-AUG-1997,10,1,INE737B01033,10
ADSL,Allied Digital Services Limited,EQ,25-JUL-2007,5,1,INE102I01027,5
ADVAIT,Advait Energy Transitions Limited,EQ,20-JAN-2026,10,1,INE0ALI01010,10
ADVANCE,Advance Agrolife Limited,EQ,08-OCT-2025,10,1,INE1B0W01010,10
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-JUN-2007,2,1,INE199C01026,2
ADVENTHTL,Advent Hotels International Limited,EQ,13-NOV-2025,10,1,INE28GN01010,10
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,2,1,INE837H01020,2
ADVIKCA,Advik Capital Limited,EQ,17-AUG-2026,1,1,INE178T01024,1
AEGISLOG,Aegis Logistics Limited,EQ,03-APR-1996,1,1,INE208C01025,1
AEGISVOPAK,Aegis Vopak Terminals Limited,EQ,02-JUN-2025,10,1,INE0INX01018,10
AEPL,Artemis Electricals and Projects Limited,EQ,12-MAR-2026,1,1,INE757T01025,1
AEQUS,Aequs Limited,EQ,10-DEC-2025,10,1,INE947N01017,10
AEROENTER,Aeroflex Enterprises Limited,EQ,21-NOV-2022,2,1,INE065D01027,2
AEROFLEX,Aeroflex Industries Limited,EQ,31-AUG-2023,2,1,INE024001021,2
AERONEU,Aeroflex Neu Limited,EQ,12-JAN-2023,10,1,INE035801013,10
AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited,EQ,02-APR-2026,10,1,INE05TO01019,10
AETHER,Aether Industries Limited,EQ,03-JUN-2022,10,1,INE0BWX01014,10
AFCONS,Afcons Infrastructure Limited,EQ,04-NOV-2024,10,1,INE101I01011,10
AFFLE,Affle 3i Limited,EQ,08-AUG-2019,2,1,INE00WC01027,2
AFFORDABLE,Affordable Robotic & Automation Limited,EQ,23-OCT-2024,10,1,INE692Z01013,10
AFIL,Akme Fintrade (India) Limited,EQ,26-JUN-2024,1,1,INE916Y01027,1
AFSL,Abans Financial Services Limited,EQ,23-DEC-2022,2,1,INE00ZE01026,2
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,10,1,INE204E01012,10
AGARWALEYE,Dr. Agarwal's Health Care Limited,EQ,04-FEB-2025,1,1,INE943P01029,1
AGI,AGI Greenpac Limited,EQ,31-MAY-2000,2,1,INE415A01038,2
AGIIL,Agi Infra Limited,EQ,15-JUL-2024,1,1,INE976R01033,1
AGL,Allcargo Global Limited,EQ,03-JUL-2026,2,1,INE1YPB01014,2
AGRITECH,Agri-Tech (India) Limited,EQ,28-JAN-2014,10,1,INE449G01018,10
AGROPHOS,Agro Phos India Limited,EQ,08-MAR-2019,10,1,INE740V01019,10
AGSTRA,AGS Transact Technologies Limited,BZ,31-JAN-2022,10,1,INE583L01014,10
AHCL,Anlon Healthcare Limited,EQ,03-SEP-2025,2,1,INE0Y8W01025,2
AHLADA,Ahlada Engineers Limited,EQ,28-JAN-2021,10,1,INE00PV01013,10
AHLEAST,Asian Hotels (East) Limited,EQ,11-AUG-2010,10,1,INE926K01017,10
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,2,1,INE758C01029,2
AHLWEST,Asian Hotels (West) Limited,BE,05-AUG-2010,10,1,INE915K01010,10
AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,2,1,INE212H01026,2
AIIL,Authum Investment & Infrastructure Limited,EQ,23-APR-2024,1,1,INE206F01022,1
AIRAN,Airan Limited,EQ,03-MAY-2019,2,1,INE645W01026,2
AIROLAM,Airo Lam limited,EQ,13-OCT-2021,10,1,INE801L01010,10
AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2,1,INE031B01049,2
AJAXENGG,Ajax Engineering Limited,EQ,17-FEB-2025,1,1,INE274Y01021,1
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,2,1,INE298G01035,2
AJOONI,Ajooni Biotech Limited,EQ,07-MAY-2021,2,1,INE820Y01021,2
AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019,10,1,INE737W01013,10
AKCAPIT,AK Capital Services Limited,EQ,20-APR-2026,10,1,INE701G01012,10
AKG,Akg Exim Limited,EQ,16-FEB-2021,10,1,INE00Y801016,10
AKI,AKI India Limited,BE,06-APR-2023,2,1,INE642Z01026,2
AKSHAR,Akshar Spintex Limited,EQ,23-MAY-2022,1,1,INE256Z01025,1
AKSHARCHEM,AksharChem India Limited,BE,28-MAR-2017,10,1,INE542B01011,10
AKSHOPTFBR,Aksh Optifibre Limited,BE,18-AUG-2000,5,1,INE523B01011,5
AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,06-AUG-2024,2,1,INE09XN01023,2
ALANKIT,Alankit Limited,EQ,30-JUN-2015,1,1,INE914E01040,1
ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016,10,1,INE155C01010,10
ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2,1,INE426A01027,2
ALFREDHE,Alfred Herbert India Limited,EQ,17-AUG-2026,10,1,INE782D01027,10
ALGOQUANT,Algoquant Fintech Limited,EQ,06-JAN-2026,1,1,INE598D01035,1
ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,5,1,INE062D01024,5
ALIVUS,Alivus Life Sciences Limited,EQ,06-AUG-2021,2,1,INE03Q201024,2
ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,10,1,INE773I01017,10
ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2,1,INE540L01014,2
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,2,1,INE150B01039,2
ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2,1,INE418H01029,2
ALLDIGI,Alldigi Tech Limited,EQ,09-MAY-2005,10,1,INE835G01018,10
ALLTIME,All Time Plastics Limited,EQ,14-AUG-2025,2,1,INE0GV601021,2
ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,1,1,INE326B01035,1
ALOKINDS,Alok Industries Limited,EQ,19-FEB-2020,1,1,INE270A01029,1
ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007,10,1,INE385I01010,10
ALPHAGEO,Alphageo (India) Limited,BE,11-MAY-2007,10,1,INE137C01018,10
ALPINETEX,Alpine Texworld Limited,EQ,21-JUL-2026,10,1,INE1JCQ01037,10
ALUFLUOR,Alufluoride Limited,EQ,17-AUG-2026,10,1,INE058F01019,10
AMAGI,Amagi Media Labs Limited,EQ,21-JAN-2026,5,1,INE121R01077,5
AMAL,Amal Limited,EQ,17-AUG-2026,10,1,INE841D01013,10
AMANTA,Amanta Healthcare Limited,BE,09-SEP-2025,10,1,INE084K01015,10
AMARJOTHI,Amarjothi Spinning Mills Limited,EQ,17-AUG-2026,10,1,INE484D01012,10
AMBALALSA,Ambalal Sarabhai Enterprises Limited,BE,20-APR-2026,10,1,INE432A01017,10
AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,10,1,INE371P01015,10
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-JUN-2004,10,1,INE792B01012,10
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008,10,1,INE540G01014,10
AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2,1,INE079A01024,2
AMDIND,AMD Industries Limited,BE,19-MAR-2007,10,1,INE005I01014,10
AMJLAND,Amj Land Holdings Limited,EQ,08-FEB-1995,2,1,INE606A01024,2
AMNPLST,Amines & Plasticizers Limited,EQ,10-NOV-2023,2,1,INE275D01022,2
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015,1,1,INE098F01031,1
ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-DEC-2021,5,1,INE463V01026,5
ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006,2,1,INE242C01024,2
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-MAY-2004,2,1,INE435A01051,2
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-NOV-1995,2,1,INE715B01021,2
ANDREWYU,Andrew Yule & Company Limited,EQ,17-AUG-2026,2,1,INE449C01025,2
ANGELONE,Angel One Limited,EQ,05-OCT-2020,1,1,INE732I01021,1
ANIKINDS,Anik Industries Limited,EQ,21-MAY-2008,10,1,INE087B01017,10
ANKITMETAL,Ankit Metal & Power Limited,BZ,14-MAR-2013,10,1,INE106I01010,10
ANMOL,Anmol India Limited,BE,04-JUN-2021,10,1,INE02AR01019,10
ANNAPURNA,Annapurna Swadisht Limited,EQ,12-AUG-2026,10,1,INE0MGM01017,10
ANNU,Annu Projects Limited,EQ,02-SEP-2026,10,1,INE103001017,10
ANSALAPI,Ansal Properties & Infrastructure Limited,BZ,27-JAN-2006,5,1,INE436A01026,5
ANSALBU,Ansal Buildwell Limited,EQ,17-AUG-2026,10,1,INE030C01015,10
ANTELOPUS,Antelopus Selan Energy Limited,EQ,26-SEP-2006,10,1,INE818A01017,10
ANTGRAPHIC,Antarctica Limited,EQ,31-DEC-1997,1,1,INE414B01021,1
ANTHEM,Anthem Biosciences Limited,EQ,21-JUL-2025,2,1,INE0CZ201020,2
ANUHPHR,Anuh Pharma Limited,EQ,20-DEC-2024,5,1,INE489G01022,5
ANUP,The Anup Engineering Limited,EQ,01-MAR-2019,10,1,INE294Z01018,10
ANURAS,Anupam Rasayan India Limited,EQ,24-MAR-2021,10,1,INE930P01018,10
APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10,1,INE372A01015,10
APCL,Anjani Portland Cement Limited,EQ,10-APR-2017,10,1,INE071F01012,10
APCOTEXIND,Apcotex Industries Limited,EQ,06-SEP-1995,2,1,INE116A01032,2
APEX,Apex Frozen Foods Limited,EQ,04-SEP-2017,10,1,INE346W01013,10
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011,2,1,INE702C01027,2
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011,2,1,INE901L01018,2
APOLLO,Apollo Micro Systems Limited,EQ,22-JAN-2018,1,1,INE713T01028,1
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5,1,INE437A01024,5
APOLLOPIPE,Apollo Pipes Limited,EQ,11-NOV-2019,10,1,INE126J01016,10
APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995,1,1,INE438A01022,1
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-JAN-2015,5,1,INE451F01024,5
APOORVA,Apoorva Leasing Finance and Investment Company Limited,EQ,17-AUG-2026,10,1,INE217S01014,10
APTECHT,Aptech Limited,EQ,27-SEP-2002,10,1,INE266F01018,10
APTUS,Aptus Value Housing Finance India Limited,EQ,24-AUG-2021,2,1,INE852O01025,2
AQYLON,Aqylon Nexus Limited,EQ,01-APR-2024,1,1,INE416A01051,1
ARCHIDPLY,Archidply Industries Limited,EQ,04-JUL-2008,10,1,INE877I01016,10
ARCHIES,Archies Limited,EQ,02-SEP-1998,2,1,INE731A01020,2
ARCIL,Asset Reconstruction Company (India) Limited,EQ,17-SEP-2026,10,1,INE148G01016,10
ARCL,ARCL Organics Limited,EQ,17-AUG-2026,10,1,INE372M01010,10
ARDEE,Ardee Industries Limited,EQ,12-AUG-2026,2,1,INE0XNF01022,2
